ICPC-2 Code, CKS Health Topics
A,"Adverse drug reactions, AIDS and HIV infection, Analgesia - mild-to-moderate pain, Angio-oedema and anaphylaxis, Childhood cancers - recognition and referral, Chronic pain, Corticosteroids - oral, DMARDs, Drugs - adverse reactions, End of life care in children, Falls - risk assessment, Faltering growth, Feverish children - management, Feverish children - risk assessment, Glandular fever (infectious mononucleosis), Healthcare-associated infections, Hiccups, Immunizations - childhood, Immunizations - travel, Infectious mononucleosis - Glandular fever, Lyme disease, Malaria, Malaria prophylaxis, Measles, Multimorbidity, Mumps, NSAIDs - prescribing issues, Opioid dependence, Palliative cancer care - pain, Palliative care - general issues, Parvovirus B19 infection, Poisoning or overdose, Roundworm, Rubella, Scarlet fever, Sleep disorders - shift work and jet lag, Tamoxifen - managing adverse effects, Tiredness/fatigue in adults, Travel immunizations, Z-drug and benzodiazepine withdrawal"
B,"Anaemia - B12 and folate deficiency, Anaemia - iron deficiency, Anticoagulation - oral, Antiplatelet treatment, B12 and folate deficiency anaemia, Bruising, Erythrocytosis/polycythaemia, Folate and B12 deficiency anaemia, Gout, Haematological cancers - recognition and referral, HIV infection and AIDS, Hypercholesterolaemia - familial, Iron deficiency anaemia, Multiple myeloma, Neutropenic sepsis, Nosebleeds (epistaxis), Platelets - abnormal counts and cancer, Polycythaemia/erythrocytosis, Sepsis, Sickle cell disease, Sinusitis"
D,"Anal fissure, Aphthous ulcer, Appendicitis, Bowel screening, Candida - oral, Coeliac disease, Colic - infantile, Constipation, Constipation in children, Cow's milk allergy in children, Crohn's disease, Dental abscess, Diarrhoea - adult's assessment, Diarrhoea - antibiotic associated, Diarrhoea - prevention and advice for travellers, Diverticular disease, Dyspepsia - pregnancy-associated, Dyspepsia - proven functional, Dyspepsia - proven GORD, Dyspepsia - proven peptic ulcer, Dyspepsia - unidentified cause, Gallstones, Gastroenteritis, Gastrointestinal tract (lower) cancers - recognition and referral, Gastrointestinal tract (upper) cancers - recognition and referral, Gingivitis and periodontitis, GORD in children, Halitosis, Head and neck cancers - recognition and referral, Herpes simplex - oral, Irritable bowel syndrome, Nausea/vomiting in pregnancy, Palliative care - constipation, Palliative care - nausea and vomiting, Palliative care - oral, Periodontitis and gingivitis, Pilonidal sinus disease, Pruritus ani, Teething, Threadworm, Ulcerative colitis, Ulcers - aphthous"
F,"Age-related macular degeneration, Blepharitis, Cataracts, Chalazion (meibomian cyst), Conjunctivitis - allergic, Conjunctivitis - infective, Corneal superficial injury, Dry eye syndrome, Glaucoma, Herpes simplex - ocular, Hordeola (styes), Macular degeneration - age-related, Meibomian cyst (chalazion), Red eye, Retinal detachment, Squint in children, Styes (hordeola), Uveitis"
H,"Cholesteatoma, Earwax, Hearing loss in adults, Otitis externa, Otitis media - acute, Otitis media - chronic suppurative, Otitis media with effusion"
K,"Angina, Atrial fibrillation, Cardiac arrest - out of hospital care, Chest pain, Chilblains, Compression stockings, CVD prevention - lipid modification, CVD risk assessment and management, Deep vein thrombosis, DVT prevention for travellers, Giant cell arteritis, Haemorrhoids, Heart failure - chronic, Hypertension, Hypertension in pregnancy, Leg ulcer - venous, Lipid modification - CVD prevention, Lipodermatosclerosis and venous eczema, MI - secondary prevention, Palpitations, Peripheral arterial disease, Raynaud's phenomenon, Superficial vein thrombosis (superficial thrombophlebitis), Varicose veins, Venous eczema and lipodermatosclerosis"
L,"Achilles tendinopathy, Acute childhood limp, Ankylosing spondylitis, Back pain - low (without radiculopathy), Baker's cyst, Bone and soft tissue sarcoma - recognition and referral, Bunions, Bursitis - pre-patellar, Carpal tunnel syndrome, Cervical radiculopathy - neck pain, Chest pain, Childhood limp - acute, Developmental rheumatology in children, Dupuytren's disease, Greater trochanteric pain syndrome, Knee pain - assessment, Leg cramps, Limp (childhood) - acute, Low back pain (without radiculopathy), Morton's neuroma, Neck lump, Neck pain - acute torticollis, Neck pain - cervical radiculopathy, Neck pain - non-specific, Neck pain - whiplash injury, Olecranon bursitis, Osgood-Schlatter disease, Osteoarthritis, Osteoporosis - prevention of fragility fractures, Plantar fasciitis, Polymyalgia rheumatica, Pre-patellar bursitis, Restless legs syndrome, Rheumatoid arthritis, Sarcoma (bone and soft tissue) - recognition and referral, Sciatica (lumbar radiculopathy), Shoulder pain, Sprains and strains, Temporomandibular disorders (TMDs), Tennis elbow, Torticollis (acute) - neck pain, Whiplash injury - neck pain"
N,"Bacterial meningitis and meningococcal disease, Bell's palsy, Benign paroxysmal positional vertigo, Blackouts, Brain and central nervous system cancers - recognition and referral, Carbon monoxide poisoning, Central nervous system and brain cancers - recognition and referral, Cerebral palsy, Cervical radiculopathy - neck pain, Delirium, Dementia, Epilepsy, Febrile seizure, Head injury, Headache - assessment, Headache - cluster, Headache - medication overuse, Headache - tension-type, Hearing loss in adults, Learning disabilities, Meniere's disease, Meningitis - bacterial meningitis and meningococcal disease, Migraine, Morton's neuroma, Multiple sclerosis, Neuralgia - post-herpetic, Neuropathic pain - drug treatment, Parkinson's disease, Post-herpetic neuralgia, Radiculopathy (cervical) - neck pain, Radiculopathy (lumbar) - sciatica, Sciatica (lumbar radiculopathy), Stroke and TIA, Tinnitus, Trigeminal neuralgia, Vertigo, Vertigo - benign paroxysmal positional, Vestibular neuronitis"
P,"Attention deficit hyperactivity disorder, Autism in adults, Autism in children, Benzodiazepine and z-drug withdrawal, Bipolar disorder, Delirium, Depression, Depression - antenatal and postnatal, Depression in children, Dyspepsia - proven functional, Eating disorders, Generalized anxiety disorder, Insomnia, Irritable bowel syndrome, Learning disabilities, Mental health in students, Obsessive-compulsive disorder, Post-traumatic stress disorder, Postnatal and antenatal depression, Problem drinking - alcohol, Psychosis and schizophrenia, Schizophrenia and psychosis, Self-harm"
R,"Allergic rhinitis, Asthma, Breathlessness, Bronchiectasis, Chest infections - adult, Chest pain, Chronic obstructive pulmonary disease, Common cold, Coronavirus - COVID 19, Corticosteroids - inhaled, Cough, Cough - acute with chest signs in children, Croup, Epistaxis (nosebleeds), Immunizations - pneumococcal, Immunizations - seasonal influenza, Influenza - seasonal, Influenza (seasonal) - immunizations, Lung and pleural cancers - recognition and referral, Nosebleeds (epistaxis), Obstructive sleep apnoea syndrome, Palliative care - cough, Palliative care - dyspnoea, Palliative care - secretions, Pneumococcal immunizations, Pulmonary embolism, Sore throat - acute, Tuberculosis, Whooping cough"
S,"Acne vulgaris, Alopecia areata, Alopecia, androgenetic - female, Alopecia, androgenetic - male, Animal and human bites, Bites - human and animal, Bites and stings - insect, Boils, carbuncles, and staphylococcal carriage, Burns and scalds, Candida - skin, Carbuncles, boils and staphylococcal carriage, Cellulitis - acute, Chickenpox, Chilblains, Corticosteroids - topical (skin), nose, and eyes, Dermatitis - contact, Eczema - atopic, Fungal nail infection, Fungal skin infection - body and groin, Fungal skin infection - foot, Fungal skin infection - scalp, Hand foot and mouth disease, Head lice, Herpetic whitlow - and staphylococcal, Hirsutism, human and animal bites, Hyperhidrosis, Impetigo, Insect bites and stings, Itch - widespread, Itch in pregnancy, Lacerations, Melanoma and pigmented lesions, Molluscum contagiosum, MRSA in primary care, Nappy rash, Neck lump, Palliative care - malignant skin ulcer, Paronychia - acute, Pigmented lesions and melanoma, Pityriasis rosea, Pityriasis versicolor, Psoriasis, Rosacea, Scabies, Scalds and burns, Seborrhoeic dermatitis, Shingles, Skin cancers - recognition and referral, Staphylococcal carriage, boils and carbuncles, Staphylococcal whitlow - and herpetic, Urticaria, Venous eczema and lipodermatosclerosis, Veruccae and warts, Vitiligo, Warts - anogenital, Warts and verrucae, Whitlow (staphylococcal and herpetic)"
T,"Addison's disease, Alcohol - problem drinking, Cholecystitis - acute, Cirrhosis, Diabetes - type 1, Diabetes - type 2, Diabetes type 1 - insulin therapy, Diabetes type 2 - insulin therapy, Food allergy, Gilbert's syndrome, Hepatitis A, Hepatitis B, Hepatitis C, Herpes simplex - genital, Hypercalcaemia, Hyperthyroidism, Hyponatraemia, Hypothyroidism, Insulin therapy in type 1 diabetes, Insulin therapy in type 2 diabetes, Jaundice in adults, Jaundice in the newborn, Neck lump, Non-alcoholic fatty liver disease (NAFLD), Obesity, Pancreatitis - acute, Pancreatitis - chronic, Type 1 diabetes, Type 1 diabetes - insulin therapy, Type 2 diabetes, Type 2 diabetes - insulin therapy, Vitamin D deficiency in adults, Vitamin D deficiency in children"
